Begin Time (s),End Time (s),Common Name,Confidence,3997 Begin File
33,36,Human vocal,0.1132,   1 PAM10_20230329_160000.wav
36,39,Engine,0.5184,   1 PAM10_20230329_160000.wav
39,42,Carolina Chickadee,0.1742,   1 PAM10_20230329_160000.wav
42,45,Engine,0.2604,   1 PAM10_20230329_160000.wav
45,48,Engine,0.2438,   1 PAM10_20230329_160000.wav
45,48,Human vocal,0.1845,   1 PAM10_20230329_160000.wav
48,51,Carolina Chickadee,0.2754,   1 PAM10_20230329_160000.wav
48,51,Engine,0.3261,   1 PAM10_20230329_160000.wav
51,54,Engine,0.1253,   1 PAM10_20230329_160000.wav
57,60,Carolina Chickadee,0.1067,   1 PAM10_20230329_160000.wav
6,9,Carolina Chickadee,0.766,   1 PAM10_20230329_160000.wav
9,12,Carolina Chickadee,0.4534,   1 PAM10_20230329_160000.wav
15,18,Bachman's Sparrow,0.1164,   1 PAM10_20230329_161000.wav
15,18,Pine Warbler,0.8742,   1 PAM10_20230329_161000.wav
18,21,Bachman's Sparrow,0.1039,   1 PAM10_20230329_161000.wav
18,21,Pine Warbler,0.2552,   1 PAM10_20230329_161000.wav
24,27,Pine Warbler,0.4441,   1 PAM10_20230329_161000.wav
27,30,Cirl Bunting,0.1135,   1 PAM10_20230329_161000.wav
27,30,Palm Warbler,0.1111,   1 PAM10_20230329_161000.wav
27,30,Pine Warbler,0.3841,   1 PAM10_20230329_161000.wav
27,30,Tree Pipit,0.1079,   1 PAM10_20230329_161000.wav
30,33,Pine Warbler,0.9778,   1 PAM10_20230329_161000.wav
33,36,Song Thrush,0.117,   1 PAM10_20230329_161000.wav
48,51,Swamp Sparrow,0.1264,   1 PAM10_20230329_161000.wav
0,3,Bachman's Sparrow,0.1123,   1 PAM10_20230329_162000.wav
0,3,Pine Warbler,0.7279,   1 PAM10_20230329_162000.wav
18,21,Pine Warbler,0.9357,   1 PAM10_20230329_162000.wav
21,24,Red-breasted Sapsucker,0.1147,   1 PAM10_20230329_162000.wav
21,24,Red-naped Sapsucker,0.2136,   1 PAM10_20230329_162000.wav
21,24,Yellow-bellied Sapsucker,0.4052,   1 PAM10_20230329_162000.wav
24,27,Red-naped Sapsucker,0.4107,   1 PAM10_20230329_162000.wav
24,27,Yellow-bellied Sapsucker,0.1998,   1 PAM10_20230329_162000.wav
30,33,Red-naped Sapsucker,0.2679,   1 PAM10_20230329_162000.wav
30,33,Yellow-bellied Sapsucker,0.5347,   1 PAM10_20230329_162000.wav
33,36,Eurasian Moorhen,0.2627,   1 PAM10_20230329_162000.wav
36,39,Red-breasted Sapsucker,0.1239,   1 PAM10_20230329_162000.wav
36,39,Red-naped Sapsucker,0.5027,   1 PAM10_20230329_162000.wav
36,39,Yellow-bellied Sapsucker,0.2664,   1 PAM10_20230329_162000.wav
39,42,Red-breasted Sapsucker,0.1197,   1 PAM10_20230329_162000.wav
39,42,Red-naped Sapsucker,0.3454,   1 PAM10_20230329_162000.wav
39,42,Yellow-bellied Sapsucker,0.2455,   1 PAM10_20230329_162000.wav
45,48,Pine Warbler,0.9243,   1 PAM10_20230329_162000.wav
48,51,Bachman's Sparrow,0.1183,   1 PAM10_20230329_162000.wav
48,51,Pine Warbler,0.8092,   1 PAM10_20230329_162000.wav
15,18,Northern Cardinal,0.1129,   1 PAM10_20230329_163000.wav
18,21,Northern Cardinal,0.1874,   1 PAM10_20230329_163000.wav
3,6,Northern Cardinal,0.2409,   1 PAM10_20230329_163000.wav
33,36,Wren-like Rushbird,0.1267,   1 PAM10_20230329_163000.wav
0,3,Carolina Chickadee,0.1445,   1 PAM10_20230329_164000.wav
21,24,Eurasian Woodcock,0.1854,   1 PAM10_20230329_164000.wav
24,27,Carolina Chickadee,0.1464,   1 PAM10_20230329_164000.wav
30,33,Carolina Chickadee,0.4242,   1 PAM10_20230329_164000.wav
30,33,European Robin,0.1201,   1 PAM10_20230329_164000.wav
36,39,Carolina Chickadee,0.1704,   1 PAM10_20230329_164000.wav
45,48,Blue Jay,0.6312,   1 PAM10_20230329_164000.wav
48,51,Blue Jay,0.6984,   1 PAM10_20230329_164000.wav
51,54,Townsend's Warbler,0.1635,   1 PAM10_20230329_164000.wav
54,57,Blue Jay,0.2208,   1 PAM10_20230329_164000.wav
57,60,Blue Jay,0.6534,   1 PAM10_20230329_164000.wav
6,9,Great Snipe,0.2039,   1 PAM10_20230329_164000.wav
42,45,Northern Cardinal,0.2601,   1 PAM10_20230329_165000.wav
54,57,Human vocal,0.1001,   1 PAM10_20230329_165000.wav
21,24,California Quail,0.1043,   1 PAM10_20230329_170000.wav
6,9,Cactus Wren,0.1034,   1 PAM10_20230329_170000.wav
0,3,Iberian Green Woodpecker,0.1287,   1 PAM10_20230329_171000.wav
0,3,Pileated Woodpecker,0.1018,   1 PAM10_20230329_171000.wav
0,3,White-breasted Nuthatch,0.2229,   1 PAM10_20230329_171000.wav
12,15,Barn Owl,0.3511,   1 PAM10_20230329_171000.wav
21,24,Redwing,0.1144,   1 PAM10_20230329_171000.wav
9,12,Iberian Green Woodpecker,0.123,   1 PAM10_20230329_171000.wav
9,12,White-breasted Nuthatch,0.4561,   1 PAM10_20230329_171000.wav
3,6,Eurasian Collared-Dove,0.113,   1 PAM10_20230329_172000.wav
3,6,Mourning Dove,0.3408,   1 PAM10_20230329_172000.wav
36,39,Mourning Dove,0.7273,   1 PAM10_20230329_172000.wav
6,9,Mourning Dove,0.4734,   1 PAM10_20230329_172000.wav
30,33,Northern Cardinal,0.1705,   1 PAM10_20230329_173000.wav
12,15,Red-bellied Woodpecker,0.4683,   1 PAM10_20230329_174000.wav
9,12,Rufous-capped Babbler,0.1273,   1 PAM10_20230329_174000.wav
27,30,Black-headed Saltator,0.376,   1 PAM10_20230329_175000.wav
0,3,Northern Cardinal,0.2084,   1 PAM10_20230329_180000.wav
21,24,Northern Cardinal,0.2018,   1 PAM10_20230329_180000.wav
24,27,Northern Cardinal,0.2581,   1 PAM10_20230329_180000.wav
27,30,Chimney Swift,0.1056,   1 PAM10_20230329_180000.wav
57,60,Northern Cardinal,0.4634,   1 PAM10_20230329_180000.wav
0,3,Citron-bellied Attila,0.2206,   1 PAM10_20230329_181000.wav
15,18,Northern Cardinal,0.5217,   1 PAM10_20230329_181000.wav
18,21,Northern Cardinal,0.5695,   1 PAM10_20230329_181000.wav
21,24,California Quail,0.165,   1 PAM10_20230329_181000.wav
24,27,Northern Cardinal,0.5258,   1 PAM10_20230329_181000.wav
