,,,,  11 
Begin Time (s),End Time (s),Common Name,Confidence,1561 Begin File
15.0,18.0,Spring Peeper,0.2911,   1 PAM2_20230305_031000.wav
18.0,21.0,Pickerel Frog,0.1756,   1 PAM2_20230305_031000.wav
21.0,24.0,Spring Peeper,0.2205,   1 PAM2_20230305_031000.wav
24.0,27.0,Pickerel Frog,0.2563,   1 PAM2_20230305_031000.wav
27.0,30.0,Pickerel Frog,0.1243,   1 PAM2_20230305_031000.wav
27.0,30.0,Spring Peeper,0.1038,   1 PAM2_20230305_031000.wav
30.0,33.0,Pickerel Frog,0.3239,   1 PAM2_20230305_031000.wav
33.0,36.0,Pickerel Frog,0.3567,   1 PAM2_20230305_031000.wav
36.0,39.0,Slaty-tailed Trogon,0.1456,   1 PAM2_20230305_031000.wav
36.0,39.0,Sooty Grouse,0.1379,   1 PAM2_20230305_031000.wav
39.0,42.0,Spring Peeper,0.4653,   1 PAM2_20230305_031000.wav
42.0,45.0,Spring Peeper,0.3296,   1 PAM2_20230305_031000.wav
45.0,48.0,White-crowned Sparrow,0.1701,   1 PAM2_20230305_031000.wav
48.0,51.0,Spring Peeper,0.1372,   1 PAM2_20230305_031000.wav
51.0,54.0,Pickerel Frog,0.1056,   1 PAM2_20230305_031000.wav
51.0,54.0,Spring Peeper,0.2068,   1 PAM2_20230305_031000.wav
54.0,57.0,Brush Cuckoo,0.1187,   1 PAM2_20230305_031000.wav
6.0,9.0,Pickerel Frog,0.2803,   1 PAM2_20230305_031000.wav
9.0,12.0,Spring Peeper,0.1932,   1 PAM2_20230305_031000.wav
0,3.0,Pickerel Frog,0.1237,   1 PAM2_20230305_032000.wav
12.0,15.0,Brush Cuckoo,0.1051,   1 PAM2_20230305_032000.wav
18.0,21.0,Spring Peeper,0.2755,   1 PAM2_20230305_032000.wav
21.0,24.0,Spring Peeper,0.1170,   1 PAM2_20230305_032000.wav
24.0,27.0,Spring Peeper,0.5039,   1 PAM2_20230305_032000.wav
27.0,30.0,Brush Cuckoo,0.1192,   1 PAM2_20230305_032000.wav
27.0,30.0,Spring Peeper,0.2359,   1 PAM2_20230305_032000.wav
3.0,6.0,Pickerel Frog,0.2612,   1 PAM2_20230305_032000.wav
30.0,33.0,Pickerel Frog,0.1593,   1 PAM2_20230305_032000.wav
30.0,33.0,Spring Peeper,0.1644,   1 PAM2_20230305_032000.wav
33.0,36.0,Brush Cuckoo,0.1303,   1 PAM2_20230305_032000.wav
36.0,39.0,Brush Cuckoo,0.1285,   1 PAM2_20230305_032000.wav
36.0,39.0,Spring Peeper,0.2458,   1 PAM2_20230305_032000.wav
51.0,54.0,Spring Peeper,0.2017,   1 PAM2_20230305_032000.wav
57.0,60.0,Spring Peeper,0.1073,   1 PAM2_20230305_032000.wav
9.0,12.0,Pickerel Frog,0.1025,   1 PAM2_20230305_032000.wav
9.0,12.0,Spring Peeper,0.1436,   1 PAM2_20230305_032000.wav
0,3.0,Pickerel Frog,0.2738,   1 PAM2_20230305_033000.wav
0,3.0,Spring Peeper,0.1616,   1 PAM2_20230305_033000.wav
15.0,18.0,Willow Ptarmigan,0.1526,   1 PAM2_20230305_033000.wav
21.0,24.0,Pickerel Frog,0.1638,   1 PAM2_20230305_033000.wav
24.0,27.0,White-crowned Sparrow,0.1818,   1 PAM2_20230305_033000.wav
3.0,6.0,Brush Cuckoo,0.1318,   1 PAM2_20230305_033000.wav
3.0,6.0,Pickerel Frog,0.1066,   1 PAM2_20230305_033000.wav
3.0,6.0,Spring Peeper,0.1294,   1 PAM2_20230305_033000.wav
42.0,45.0,Brant,0.1645,   1 PAM2_20230305_033000.wav
54.0,57.0,Spring Peeper,0.1852,   1 PAM2_20230305_033000.wav
24.0,27.0,White-crowned Sparrow,0.1338,   1 PAM2_20230305_034000.wav
3.0,6.0,Striped Cuckoo,0.1058,   1 PAM2_20230305_034000.wav
39.0,42.0,Yucatan Wren,0.1036,   1 PAM2_20230305_034000.wav
42.0,45.0,White-crowned Sparrow,0.1637,   1 PAM2_20230305_034000.wav
48.0,51.0,Pickerel Frog,0.5472,   1 PAM2_20230305_034000.wav
51.0,54.0,Pickerel Frog,0.7623,   1 PAM2_20230305_034000.wav
54.0,57.0,Hermit Thrush,0.1346,   1 PAM2_20230305_034000.wav
9.0,12.0,White-crowned Sparrow,0.1240,   1 PAM2_20230305_034000.wav
0,3.0,Eastern Screech-Owl,0.1141,   1 PAM2_20230305_035000.wav
12.0,15.0,Great Egret,0.1041,   1 PAM2_20230305_035000.wav
15.0,18.0,Common Raven,0.1714,   1 PAM2_20230305_035000.wav
15.0,18.0,Dog,0.5201,   1 PAM2_20230305_035000.wav
21.0,24.0,Great Egret,0.2224,   1 PAM2_20230305_035000.wav
24.0,27.0,Greater Ani,0.1475,   1 PAM2_20230305_035000.wav
27.0,30.0,Townsend's Solitaire,0.1154,   1 PAM2_20230305_035000.wav
36.0,39.0,Plaintive Cuckoo,0.1434,   1 PAM2_20230305_035000.wav
42.0,45.0,Townsend's Solitaire,0.1373,   1 PAM2_20230305_035000.wav
45.0,48.0,Brush Cuckoo,0.1804,   1 PAM2_20230305_035000.wav
54.0,57.0,Chestnut-backed Antbird,0.1175,   1 PAM2_20230305_035000.wav
57.0,60.0,Townsend's Solitaire,0.1467,   1 PAM2_20230305_035000.wav
0,3.0,Brush Cuckoo,0.6605,   1 PAM2_20230305_040000.wav
0,3.0,Spring Peeper,0.3266,   1 PAM2_20230305_040000.wav
12.0,15.0,Amazonian Antshrike,0.1441,   1 PAM2_20230305_040000.wav
12.0,15.0,White-crowned Sparrow,0.1339,   1 PAM2_20230305_040000.wav
15.0,18.0,White-crowned Sparrow,0.2127,   1 PAM2_20230305_040000.wav
24.0,27.0,White-crowned Sparrow,0.1025,   1 PAM2_20230305_040000.wav
27.0,30.0,White-crowned Sparrow,0.1738,   1 PAM2_20230305_040000.wav
3.0,6.0,Spring Peeper,0.1014,   1 PAM2_20230305_040000.wav
39.0,42.0,Brush Cuckoo,0.2418,   1 PAM2_20230305_040000.wav
39.0,42.0,Plaintive Cuckoo,0.1601,   1 PAM2_20230305_040000.wav
42.0,45.0,Spring Peeper,0.1200,   1 PAM2_20230305_040000.wav
45.0,48.0,Spring Peeper,0.1736,   1 PAM2_20230305_040000.wav
48.0,51.0,Spring Peeper,0.4912,   1 PAM2_20230305_040000.wav
51.0,54.0,Spring Peeper,0.4397,   1 PAM2_20230305_040000.wav
57.0,60.0,Spring Peeper,0.1085,   1 PAM2_20230305_040000.wav
0,3.0,Pickerel Frog,0.3369,   1 PAM2_20230305_041000.wav
12.0,15.0,Spring Peeper,0.1974,   1 PAM2_20230305_041000.wav
15.0,18.0,Spring Peeper,0.2569,   1 PAM2_20230305_041000.wav
24.0,27.0,Spring Peeper,0.1598,   1 PAM2_20230305_041000.wav
3.0,6.0,Brush Cuckoo,0.3659,   1 PAM2_20230305_041000.wav
3.0,6.0,Spring Peeper,0.2942,   1 PAM2_20230305_041000.wav
48.0,51.0,Mourning Collared-Dove,0.1772,   1 PAM2_20230305_041000.wav
48.0,51.0,White-crowned Sparrow,0.1140,   1 PAM2_20230305_041000.wav
51.0,54.0,Elegant Trogon,0.1844,   1 PAM2_20230305_041000.wav
54.0,57.0,White-crowned Sparrow,0.1277,   1 PAM2_20230305_041000.wav
6.0,9.0,Brush Cuckoo,0.6789,   1 PAM2_20230305_041000.wav
6.0,9.0,Spring Peeper,0.1379,   1 PAM2_20230305_041000.wav
9.0,12.0,Brush Cuckoo,0.2344,   1 PAM2_20230305_041000.wav
9.0,12.0,Pickerel Frog,0.1552,   1 PAM2_20230305_041000.wav
0,3.0,Spring Peeper,0.1221,   1 PAM2_20230305_042000.wav
12.0,15.0,Pickerel Frog,0.1620,   1 PAM2_20230305_042000.wav
21.0,24.0,Pickerel Frog,0.5462,   1 PAM2_20230305_042000.wav
24.0,27.0,Spring Peeper,0.1965,   1 PAM2_20230305_042000.wav
42.0,45.0,Bell Miner,0.3376,   1 PAM2_20230305_042000.wav
54.0,57.0,Eastern Narrow-mouthed Toad,0.1631,   1 PAM2_20230305_042000.wav
57.0,60.0,Sapayoa,0.1491,   1 PAM2_20230305_042000.wav
57.0,60.0,White-crowned Sparrow,0.2049,   1 PAM2_20230305_042000.wav
15.0,18.0,Brush Cuckoo,0.3169,   1 PAM2_20230305_043000.wav
15.0,18.0,Spring Peeper,0.1380,   1 PAM2_20230305_043000.wav
18.0,21.0,Brush Cuckoo,0.3044,   1 PAM2_20230305_043000.wav
18.0,21.0,Spring Peeper,0.1334,   1 PAM2_20230305_043000.wav
24.0,27.0,Hermit Thrush,0.1086,   1 PAM2_20230305_043000.wav
27.0,30.0,White-crowned Sparrow,0.2278,   1 PAM2_20230305_043000.wav
30.0,33.0,White-crowned Sparrow,0.1945,   1 PAM2_20230305_043000.wav
33.0,36.0,White-crowned Sparrow,0.1832,   1 PAM2_20230305_043000.wav
36.0,39.0,White-crowned Sparrow,0.1439,   1 PAM2_20230305_043000.wav
39.0,42.0,Brush Cuckoo,0.2853,   1 PAM2_20230305_043000.wav
42.0,45.0,Pickerel Frog,0.1604,   1 PAM2_20230305_043000.wav
45.0,48.0,Brush Cuckoo,0.1077,   1 PAM2_20230305_043000.wav
51.0,54.0,Brush Cuckoo,0.1470,   1 PAM2_20230305_043000.wav
51.0,54.0,Spring Peeper,0.1427,   1 PAM2_20230305_043000.wav
54.0,57.0,Brush Cuckoo,0.1127,   1 PAM2_20230305_043000.wav
54.0,57.0,Spring Peeper,0.1020,   1 PAM2_20230305_043000.wav
57.0,60.0,Spring Peeper,0.1464,   1 PAM2_20230305_043000.wav
9.0,12.0,Brush Cuckoo,0.6857,   1 PAM2_20230305_043000.wav
9.0,12.0,Spring Peeper,0.1186,   1 PAM2_20230305_043000.wav
0,3.0,Brush Cuckoo,0.2093,   1 PAM2_20230305_044000.wav
0,3.0,Spring Peeper,0.1149,   1 PAM2_20230305_044000.wav
24.0,27.0,White-crowned Sparrow,0.1660,   1 PAM2_20230305_044000.wav
3.0,6.0,Brush Cuckoo,0.1234,   1 PAM2_20230305_044000.wav
3.0,6.0,Plaintive Cuckoo,0.1423,   1 PAM2_20230305_044000.wav
30.0,33.0,White-crowned Sparrow,0.1062,   1 PAM2_20230305_044000.wav
54.0,57.0,Spring Peeper,0.1601,   1 PAM2_20230305_044000.wav
54.0,57.0,Swainson's Thrush,0.1082,   1 PAM2_20230305_044000.wav
6.0,9.0,Brush Cuckoo,0.3602,   1 PAM2_20230305_044000.wav
6.0,9.0,Pickerel Frog,0.1013,   1 PAM2_20230305_044000.wav
12.0,15.0,Striped Chorus Frog,0.1488,   1 PAM2_20230305_045000.wav
18.0,21.0,Striped Chorus Frog,0.1200,   1 PAM2_20230305_045000.wav
27.0,30.0,Brush Cuckoo,0.1297,   1 PAM2_20230305_045000.wav
27.0,30.0,Pickerel Frog,0.1088,   1 PAM2_20230305_045000.wav
27.0,30.0,Spring Peeper,0.1016,   1 PAM2_20230305_045000.wav
3.0,6.0,Long-billed Gnatwren,0.1009,   1 PAM2_20230305_045000.wav
3.0,6.0,Song Wren,0.2658,   1 PAM2_20230305_045000.wav
30.0,33.0,Spring Peeper,0.1125,   1 PAM2_20230305_045000.wav
36.0,39.0,Brush Cuckoo,0.5284,   1 PAM2_20230305_045000.wav
42.0,45.0,Brush Cuckoo,0.1410,   1 PAM2_20230305_045000.wav
42.0,45.0,Green Heron,0.1342,   1 PAM2_20230305_045000.wav
45.0,48.0,Brush Cuckoo,0.1888,   1 PAM2_20230305_045000.wav
48.0,51.0,Brush Cuckoo,0.1611,   1 PAM2_20230305_045000.wav
51.0,54.0,Brush Cuckoo,0.2898,   1 PAM2_20230305_045000.wav
51.0,54.0,Spring Peeper,0.1039,   1 PAM2_20230305_045000.wav
54.0,57.0,Brush Cuckoo,0.1692,   1 PAM2_20230305_045000.wav
57.0,60.0,Pickerel Frog,0.1015,   1 PAM2_20230305_045000.wav
6.0,9.0,Greater Ani,0.1794,   1 PAM2_20230305_045000.wav
9.0,12.0,Long-billed Gnatwren,0.2748,   1 PAM2_20230305_045000.wav
12.0,15.0,Pickerel Frog,0.2772,   1 PAM2_20230305_050000.wav
21.0,24.0,White-crowned Sparrow,0.1109,   1 PAM2_20230305_050000.wav
24.0,27.0,Chestnut-backed Antbird,0.2390,   1 PAM2_20230305_050000.wav
3.0,6.0,Greater Ani,0.2469,   1 PAM2_20230305_050000.wav
3.0,6.0,White-crowned Sparrow,0.2193,   1 PAM2_20230305_050000.wav
30.0,33.0,Townsend's Solitaire,0.1868,   1 PAM2_20230305_050000.wav
33.0,36.0,Bell Miner,0.1035,   1 PAM2_20230305_050000.wav
36.0,39.0,Brush Cuckoo,0.1042,   1 PAM2_20230305_050000.wav
39.0,42.0,Pickerel Frog,0.5502,   1 PAM2_20230305_050000.wav
48.0,51.0,White-crowned Sparrow,0.1389,   1 PAM2_20230305_050000.wav
57.0,60.0,Jerdon's Nightjar,0.2908,   1 PAM2_20230305_050000.wav
57.0,60.0,Manu Antbird,0.1290,   1 PAM2_20230305_050000.wav
9.0,12.0,Pickerel Frog,0.1276,   1 PAM2_20230305_050000.wav
0,3.0,Spillmann's Tapaculo,0.1475,   1 PAM2_20230305_051000.wav
0,3.0,White-crowned Sparrow,0.1278,   1 PAM2_20230305_051000.wav
12.0,15.0,Eastern Narrow-mouthed Toad,0.1185,   1 PAM2_20230305_051000.wav
24.0,27.0,Hermit Thrush,0.2847,   1 PAM2_20230305_051000.wav
24.0,27.0,Varied Thrush,0.1272,   1 PAM2_20230305_051000.wav
24.0,27.0,White-crowned Sparrow,0.1685,   1 PAM2_20230305_051000.wav
30.0,33.0,American Toad,0.1225,   1 PAM2_20230305_051000.wav
30.0,33.0,Spring Peeper,0.1731,   1 PAM2_20230305_051000.wav
30.0,33.0,Striped Chorus Frog,0.1818,   1 PAM2_20230305_051000.wav
42.0,45.0,Brush Cuckoo,0.2998,   1 PAM2_20230305_051000.wav
42.0,45.0,Spring Peeper,0.1312,   1 PAM2_20230305_051000.wav
45.0,48.0,Hermit Thrush,0.2868,   1 PAM2_20230305_051000.wav
45.0,48.0,White-crowned Sparrow,0.1400,   1 PAM2_20230305_051000.wav
51.0,54.0,Amazonian Antshrike,0.4390,   1 PAM2_20230305_051000.wav
51.0,54.0,White-crowned Sparrow,0.1641,   1 PAM2_20230305_051000.wav
51.0,54.0,Yosemite Toad,0.1001,   1 PAM2_20230305_051000.wav
6.0,9.0,Striped Chorus Frog,0.2063,   1 PAM2_20230305_051000.wav
9.0,12.0,Sapayoa,0.1169,   1 PAM2_20230305_051000.wav
9.0,12.0,Striped Chorus Frog,0.1041,   1 PAM2_20230305_051000.wav
18.0,21.0,Brush Cuckoo,0.2038,   1 PAM2_20230305_052000.wav
18.0,21.0,Spring Peeper,0.2560,   1 PAM2_20230305_052000.wav
21.0,24.0,Green-winged Teal,0.1092,   1 PAM2_20230305_052000.wav
30.0,33.0,Eastern Narrow-mouthed Toad,0.1240,   1 PAM2_20230305_052000.wav
30.0,33.0,Pickerel Frog,0.1164,   1 PAM2_20230305_052000.wav
30.0,33.0,Spring Peeper,0.6115,   1 PAM2_20230305_052000.wav
33.0,36.0,Spring Peeper,0.4508,   1 PAM2_20230305_052000.wav
36.0,39.0,Spring Peeper,0.3566,   1 PAM2_20230305_052000.wav
39.0,42.0,Eastern Narrow-mouthed Toad,0.1032,   1 PAM2_20230305_052000.wav
39.0,42.0,Spring Peeper,0.1124,   1 PAM2_20230305_052000.wav
42.0,45.0,Spring Peeper,0.3204,   1 PAM2_20230305_052000.wav
45.0,48.0,Spring Peeper,0.1518,   1 PAM2_20230305_052000.wav
48.0,51.0,Pickerel Frog,0.1312,   1 PAM2_20230305_052000.wav
48.0,51.0,Spring Peeper,0.4900,   1 PAM2_20230305_052000.wav
57.0,60.0,Eastern Narrow-mouthed Toad,0.5660,   1 PAM2_20230305_052000.wav
9.0,12.0,Spring Peeper,0.1610,   1 PAM2_20230305_052000.wav
21.0,24.0,Brush Cuckoo,0.2163,   1 PAM2_20230305_053000.wav
21.0,24.0,Osprey,0.5261,   1 PAM2_20230305_053000.wav
24.0,27.0,Brush Cuckoo,0.1469,   1 PAM2_20230305_053000.wav
30.0,33.0,Brush Cuckoo,0.4152,   1 PAM2_20230305_053000.wav
33.0,36.0,Brush Cuckoo,0.6316,   1 PAM2_20230305_053000.wav
33.0,36.0,Plaintive Cuckoo,0.1751,   1 PAM2_20230305_053000.wav
36.0,39.0,European Golden-Plover,0.1437,   1 PAM2_20230305_053000.wav
36.0,39.0,Short-tailed Scimitar-Babbler,0.3463,   1 PAM2_20230305_053000.wav
39.0,42.0,Swainson's Thrush,0.1815,   1 PAM2_20230305_053000.wav
45.0,48.0,Hermit Thrush,0.1006,   1 PAM2_20230305_053000.wav
51.0,54.0,White-crowned Sparrow,0.1352,   1 PAM2_20230305_053000.wav
57.0,60.0,White-crowned Sparrow,0.2015,   1 PAM2_20230305_053000.wav
6.0,9.0,Black-capped Babbler,0.1716,   1 PAM2_20230305_053000.wav
6.0,9.0,Eastern Wood-Pewee,0.1353,   1 PAM2_20230305_053000.wav
15.0,18.0,Downy Woodpecker,0.1444,   1 PAM2_20230305_054000.wav
18.0,21.0,Brush Cuckoo,0.5863,   1 PAM2_20230305_054000.wav
18.0,21.0,Spring Peeper,0.2395,   1 PAM2_20230305_054000.wav
21.0,24.0,Brush Cuckoo,0.2315,   1 PAM2_20230305_054000.wav
21.0,24.0,Spring Peeper,0.2056,   1 PAM2_20230305_054000.wav
30.0,33.0,White-crowned Sparrow,0.3680,   1 PAM2_20230305_054000.wav
33.0,36.0,White-crowned Sparrow,0.1402,   1 PAM2_20230305_054000.wav
42.0,45.0,Chestnut-headed Oropendola,0.7299,   1 PAM2_20230305_054000.wav
42.0,45.0,Watercock,0.2357,   1 PAM2_20230305_054000.wav
51.0,54.0,White-crowned Sparrow,0.1078,   1 PAM2_20230305_054000.wav
54.0,57.0,Cattle Egret,0.1022,   1 PAM2_20230305_054000.wav
54.0,57.0,Greater Ani,0.3740,   1 PAM2_20230305_054000.wav
54.0,57.0,Willow Ptarmigan,0.1034,   1 PAM2_20230305_054000.wav
9.0,12.0,Song Wren,0.2324,   1 PAM2_20230305_054000.wav
0,3.0,White-crowned Sparrow,0.2074,   1 PAM2_20230305_055000.wav
12.0,15.0,Yucatan Wren,0.1745,   1 PAM2_20230305_055000.wav
15.0,18.0,White-crowned Sparrow,0.1235,   1 PAM2_20230305_055000.wav
24.0,27.0,White-crowned Sparrow,0.2505,   1 PAM2_20230305_055000.wav
27.0,30.0,Grassland Sparrow,0.1576,   1 PAM2_20230305_055000.wav
27.0,30.0,Rustic Bunting,0.6659,   1 PAM2_20230305_055000.wav
30.0,33.0,White-crowned Sparrow,0.1395,   1 PAM2_20230305_055000.wav
33.0,36.0,Chestnut-headed Oropendola,0.2673,   1 PAM2_20230305_055000.wav
33.0,36.0,Greater Ani,0.2513,   1 PAM2_20230305_055000.wav
33.0,36.0,Willow Ptarmigan,0.1895,   1 PAM2_20230305_055000.wav
36.0,39.0,Yucatan Wren,0.2104,   1 PAM2_20230305_055000.wav
39.0,42.0,Song Wren,0.2190,   1 PAM2_20230305_055000.wav
42.0,45.0,Song Wren,0.1857,   1 PAM2_20230305_055000.wav
45.0,48.0,Striped Cuckoo,0.2546,   1 PAM2_20230305_055000.wav
48.0,51.0,Manu Antbird,0.1408,   1 PAM2_20230305_055000.wav
51.0,54.0,White-crowned Sparrow,0.1059,   1 PAM2_20230305_055000.wav
57.0,60.0,Striped Cuckoo,0.1593,   1 PAM2_20230305_055000.wav
57.0,60.0,White-crowned Sparrow,0.1289,   1 PAM2_20230305_055000.wav
6.0,9.0,Song Wren,0.1102,   1 PAM2_20230305_055000.wav
12.0,15.0,White-crowned Sparrow,0.2168,   1 PAM2_20230305_060000.wav
15.0,18.0,Striped Chorus Frog,0.1117,   1 PAM2_20230305_060000.wav
21.0,24.0,Chestnut-headed Oropendola,0.1237,   1 PAM2_20230305_060000.wav
21.0,24.0,Wood Frog,0.2567,   1 PAM2_20230305_060000.wav
3.0,6.0,Pickerel Frog,0.1087,   1 PAM2_20230305_060000.wav
33.0,36.0,White-crowned Sparrow,0.1853,   1 PAM2_20230305_060000.wav
36.0,39.0,Yucatan Wren,0.1141,   1 PAM2_20230305_060000.wav
39.0,42.0,Yucatan Wren,0.1160,   1 PAM2_20230305_060000.wav
42.0,45.0,Pickerel Frog,0.1356,   1 PAM2_20230305_060000.wav
51.0,54.0,White-crowned Sparrow,0.1068,   1 PAM2_20230305_060000.wav
54.0,57.0,American Robin,0.1179,   1 PAM2_20230305_060000.wav
54.0,57.0,White-crowned Sparrow,0.2464,   1 PAM2_20230305_060000.wav
6.0,9.0,Great Egret,0.2755,   1 PAM2_20230305_060000.wav
6.0,9.0,Greater Ani,0.3375,   1 PAM2_20230305_060000.wav
12.0,15.0,Rustic Bunting,0.1743,   1 PAM2_20230305_061000.wav
15.0,18.0,White-crowned Sparrow,0.1071,   1 PAM2_20230305_061000.wav
18.0,21.0,Northern Cardinal,0.1409,   1 PAM2_20230305_061000.wav
21.0,24.0,Northern Cardinal,0.1277,   1 PAM2_20230305_061000.wav
24.0,27.0,Northern Cardinal,0.2074,   1 PAM2_20230305_061000.wav
24.0,27.0,Ruby-throated Hummingbird,0.1422,   1 PAM2_20230305_061000.wav
30.0,33.0,Mountain Bluebird,0.4697,   1 PAM2_20230305_061000.wav
36.0,39.0,Northern Cardinal,0.3593,   1 PAM2_20230305_061000.wav
42.0,45.0,Northern Cardinal,0.2179,   1 PAM2_20230305_061000.wav
45.0,48.0,Northern Cardinal,0.4431,   1 PAM2_20230305_061000.wav
48.0,51.0,Northern Cardinal,0.4574,   1 PAM2_20230305_061000.wav
51.0,54.0,Northern Cardinal,0.2712,   1 PAM2_20230305_061000.wav
54.0,57.0,Northern Cardinal,0.3184,   1 PAM2_20230305_061000.wav
57.0,60.0,Northern Cardinal,0.3849,   1 PAM2_20230305_061000.wav
6.0,9.0,White-crowned Sparrow,0.1967,   1 PAM2_20230305_061000.wav
9.0,12.0,Magnificent Riflebird,0.1756,   1 PAM2_20230305_061000.wav
21.0,24.0,Northern Cardinal,0.1069,   1 PAM2_20230305_062000.wav
27.0,30.0,Swainson's Warbler,0.1117,   1 PAM2_20230305_062000.wav
3.0,6.0,Blue-winged Warbler,0.1100,   1 PAM2_20230305_062000.wav
3.0,6.0,Worm-eating Warbler,0.1434,   1 PAM2_20230305_062000.wav
30.0,33.0,Northern Cardinal,0.1146,   1 PAM2_20230305_062000.wav
33.0,36.0,Carolina Chickadee,0.3496,   1 PAM2_20230305_062000.wav
45.0,48.0,Northern Cardinal,0.1245,   1 PAM2_20230305_062000.wav
48.0,51.0,Carolina Chickadee,0.1074,   1 PAM2_20230305_062000.wav
54.0,57.0,Black-throated Green Warbler,0.1126,   1 PAM2_20230305_062000.wav
54.0,57.0,Northern Cardinal,0.2219,   1 PAM2_20230305_062000.wav
57.0,60.0,Carolina Chickadee,0.3450,   1 PAM2_20230305_062000.wav
9.0,12.0,Carolina Chickadee,0.1809,   1 PAM2_20230305_062000.wav
0,3.0,Carolina Chickadee,0.1392,   1 PAM2_20230305_063000.wav
0,3.0,White-throated Sparrow,0.2344,   1 PAM2_20230305_063000.wav
15.0,18.0,Carolina Chickadee,0.1407,   1 PAM2_20230305_063000.wav
15.0,18.0,White-crowned Sparrow,0.1253,   1 PAM2_20230305_063000.wav
18.0,21.0,Bachman's Sparrow,0.4787,   1 PAM2_20230305_063000.wav
18.0,21.0,Carolina Chickadee,0.3044,   1 PAM2_20230305_063000.wav
18.0,21.0,Cassin's Sparrow,0.1182,   1 PAM2_20230305_063000.wav
21.0,24.0,Carolina Chickadee,0.1734,   1 PAM2_20230305_063000.wav
27.0,30.0,Carolina Chickadee,0.7157,   1 PAM2_20230305_063000.wav
3.0,6.0,Carolina Chickadee,0.4163,   1 PAM2_20230305_063000.wav
30.0,33.0,Cassin's Sparrow,0.1873,   1 PAM2_20230305_063000.wav
33.0,36.0,Carolina Chickadee,0.9161,   1 PAM2_20230305_063000.wav
36.0,39.0,Carolina Chickadee,0.8152,   1 PAM2_20230305_063000.wav
39.0,42.0,Carolina Chickadee,0.6695,   1 PAM2_20230305_063000.wav
42.0,45.0,Carolina Chickadee,0.9028,   1 PAM2_20230305_063000.wav
45.0,48.0,Carolina Chickadee,0.9517,   1 PAM2_20230305_063000.wav
6.0,9.0,Carolina Chickadee,0.4226,   1 PAM2_20230305_063000.wav
0,3.0,Bachman's Sparrow,0.6898,   1 PAM2_20230305_064000.wav
0,3.0,Carolina Chickadee,0.1946,   1 PAM2_20230305_064000.wav
12.0,15.0,Carolina Wren,0.2321,   1 PAM2_20230305_064000.wav
15.0,18.0,Carolina Wren,0.1155,   1 PAM2_20230305_064000.wav
15.0,18.0,Engine,0.1329,   1 PAM2_20230305_064000.wav
18.0,21.0,Bachman's Sparrow,0.1169,   1 PAM2_20230305_064000.wav
18.0,21.0,Carolina Wren,0.3409,   1 PAM2_20230305_064000.wav
21.0,24.0,Carolina Wren,0.1822,   1 PAM2_20230305_064000.wav
24.0,27.0,Carolina Wren,0.1711,   1 PAM2_20230305_064000.wav
24.0,27.0,Downy Woodpecker,0.3713,   1 PAM2_20230305_064000.wav
24.0,27.0,Red-bellied Woodpecker,0.1014,   1 PAM2_20230305_064000.wav
27.0,30.0,Downy Woodpecker,0.3126,   1 PAM2_20230305_064000.wav
30.0,33.0,Brown-headed Nuthatch,0.1068,   1 PAM2_20230305_064000.wav
33.0,36.0,Carolina Chickadee,0.4288,   1 PAM2_20230305_064000.wav
36.0,39.0,American Goldfinch,0.5504,   1 PAM2_20230305_064000.wav
39.0,42.0,Brown-headed Nuthatch,0.5497,   1 PAM2_20230305_064000.wav
39.0,42.0,Carolina Wren,0.1111,   1 PAM2_20230305_064000.wav
42.0,45.0,Brown-headed Nuthatch,0.6383,   1 PAM2_20230305_064000.wav
42.0,45.0,Red-legged Tinamou,0.1104,   1 PAM2_20230305_064000.wav
45.0,48.0,Carolina Chickadee,0.2025,   1 PAM2_20230305_064000.wav
48.0,51.0,Downy Woodpecker,0.7981,   1 PAM2_20230305_064000.wav
51.0,54.0,Downy Woodpecker,0.9204,   1 PAM2_20230305_064000.wav
57.0,60.0,Brown-headed Nuthatch,0.8896,   1 PAM2_20230305_064000.wav
6.0,9.0,Bachman's Sparrow,0.3404,   1 PAM2_20230305_064000.wav
6.0,9.0,Carolina Wren,0.2698,   1 PAM2_20230305_064000.wav
9.0,12.0,Downy Woodpecker,0.1679,   1 PAM2_20230305_064000.wav
0,3.0,Carolina Chickadee,0.6744,   1 PAM2_20230305_065000.wav
12.0,15.0,Carolina Chickadee,0.4970,   1 PAM2_20230305_065000.wav
12.0,15.0,Golden-crowned Kinglet,0.1573,   1 PAM2_20230305_065000.wav
15.0,18.0,Bay-breasted Warbler,0.3712,   1 PAM2_20230305_065000.wav
18.0,21.0,Carolina Chickadee,0.1152,   1 PAM2_20230305_065000.wav
24.0,27.0,Carolina Chickadee,0.3481,   1 PAM2_20230305_065000.wav
27.0,30.0,Carolina Chickadee,0.4084,   1 PAM2_20230305_065000.wav
27.0,30.0,Golden-crowned Kinglet,0.2919,   1 PAM2_20230305_065000.wav
27.0,30.0,Red-shouldered Hawk,0.2196,   1 PAM2_20230305_065000.wav
30.0,33.0,Red-shouldered Hawk,0.8950,   1 PAM2_20230305_065000.wav
33.0,36.0,Red-shouldered Hawk,0.8713,   1 PAM2_20230305_065000.wav
36.0,39.0,Red-shouldered Hawk,0.7313,   1 PAM2_20230305_065000.wav
39.0,42.0,Carolina Chickadee,0.3642,   1 PAM2_20230305_065000.wav
