,,,,  11 
Begin Time (s),End Time (s),Common Name,Confidence,1561 Begin File
12.0,15.0,Brown-headed Nuthatch,0.3090,   1 PAM2_20230304_121000.wav
12.0,15.0,Red-shouldered Hawk,0.9547,   1 PAM2_20230304_121000.wav
15.0,18.0,Pygmy Nuthatch,0.1332,   1 PAM2_20230304_121000.wav
15.0,18.0,Red-shouldered Hawk,0.8787,   1 PAM2_20230304_121000.wav
18.0,21.0,Red-shouldered Hawk,0.4214,   1 PAM2_20230304_121000.wav
18.0,21.0,Red-tailed Hawk,0.1774,   1 PAM2_20230304_121000.wav
21.0,24.0,Brown-headed Nuthatch,0.9078,   1 PAM2_20230304_121000.wav
21.0,24.0,Pygmy Nuthatch,0.2086,   1 PAM2_20230304_121000.wav
24.0,27.0,Brown-headed Nuthatch,0.8934,   1 PAM2_20230304_121000.wav
27.0,30.0,Brown-headed Nuthatch,0.1614,   1 PAM2_20230304_121000.wav
3.0,6.0,Red-shouldered Hawk,0.9958,   1 PAM2_20230304_121000.wav
33.0,36.0,Red-shouldered Hawk,0.7463,   1 PAM2_20230304_121000.wav
39.0,42.0,Brown-headed Nuthatch,0.2472,   1 PAM2_20230304_121000.wav
39.0,42.0,Pygmy Nuthatch,0.1124,   1 PAM2_20230304_121000.wav
39.0,42.0,Spotted Sandpiper,0.3632,   1 PAM2_20230304_121000.wav
42.0,45.0,Swamp Sparrow,0.6138,   1 PAM2_20230304_121000.wav
45.0,48.0,Spotted Sandpiper,0.1183,   1 PAM2_20230304_121000.wav
6.0,9.0,Red-shouldered Hawk,0.9614,   1 PAM2_20230304_121000.wav
6.0,9.0,Swamp Sparrow,0.2922,   1 PAM2_20230304_121000.wav
6.0,9.0,Yellow-throated Warbler,0.1101,   1 PAM2_20230304_121000.wav
9.0,12.0,Red-shouldered Hawk,0.9922,   1 PAM2_20230304_121000.wav
0,3.0,Tufted Titmouse,0.4084,   1 PAM2_20230304_122000.wav
12.0,15.0,Tufted Titmouse,0.2447,   1 PAM2_20230304_122000.wav
15.0,18.0,Tufted Titmouse,0.1309,   1 PAM2_20230304_122000.wav
18.0,21.0,Tufted Titmouse,0.2379,   1 PAM2_20230304_122000.wav
21.0,24.0,Tufted Titmouse,0.2527,   1 PAM2_20230304_122000.wav
24.0,27.0,Tufted Titmouse,0.1084,   1 PAM2_20230304_122000.wav
27.0,30.0,Tufted Titmouse,0.1849,   1 PAM2_20230304_122000.wav
33.0,36.0,Tufted Titmouse,0.1035,   1 PAM2_20230304_122000.wav
42.0,45.0,Green Shrike-Vireo,0.1339,   1 PAM2_20230304_122000.wav
42.0,45.0,Tufted Titmouse,0.2299,   1 PAM2_20230304_122000.wav
42.0,45.0,White-throated Kingfisher,0.1306,   1 PAM2_20230304_122000.wav
48.0,51.0,Brown-headed Nuthatch,0.3524,   1 PAM2_20230304_122000.wav
51.0,54.0,Tufted Titmouse,0.5587,   1 PAM2_20230304_122000.wav
54.0,57.0,Tufted Titmouse,0.2768,   1 PAM2_20230304_122000.wav
9.0,12.0,Tufted Titmouse,0.3446,   1 PAM2_20230304_122000.wav
15.0,18.0,Iberian Green Woodpecker,0.1499,   1 PAM2_20230304_123000.wav
21.0,24.0,Eurasian Green Woodpecker,0.1489,   1 PAM2_20230304_123000.wav
21.0,24.0,Iberian Green Woodpecker,0.1016,   1 PAM2_20230304_123000.wav
21.0,24.0,White-breasted Nuthatch,0.3908,   1 PAM2_20230304_123000.wav
24.0,27.0,Iberian Green Woodpecker,0.2992,   1 PAM2_20230304_123000.wav
24.0,27.0,White-breasted Nuthatch,0.6580,   1 PAM2_20230304_123000.wav
27.0,30.0,Eurasian Green Woodpecker,0.1907,   1 PAM2_20230304_123000.wav
27.0,30.0,Iberian Green Woodpecker,0.4560,   1 PAM2_20230304_123000.wav
30.0,33.0,Eurasian Green Woodpecker,0.8608,   1 PAM2_20230304_123000.wav
30.0,33.0,Iberian Green Woodpecker,0.1186,   1 PAM2_20230304_123000.wav
36.0,39.0,White-breasted Nuthatch,0.9260,   1 PAM2_20230304_123000.wav
42.0,45.0,Engine,0.4095,   1 PAM2_20230304_124000.wav
12.0,15.0,American Woodcock,0.1125,   1 PAM2_20230304_125000.wav
24.0,27.0,Spring Peeper,0.1878,   1 PAM2_20230304_125000.wav
36.0,39.0,Eastern Narrow-mouthed Toad,0.1119,   1 PAM2_20230304_125000.wav
42.0,45.0,Eastern Narrow-mouthed Toad,0.1077,   1 PAM2_20230304_125000.wav
12.0,15.0,American Tree Sparrow,0.1399,   1 PAM2_20230304_130000.wav
12.0,15.0,American Woodcock,0.2177,   1 PAM2_20230304_130000.wav
18.0,21.0,Spring Peeper,0.1005,   1 PAM2_20230304_130000.wav
24.0,27.0,American Woodcock,0.1010,   1 PAM2_20230304_130000.wav
24.0,27.0,Eastern Narrow-mouthed Toad,0.1373,   1 PAM2_20230304_130000.wav
27.0,30.0,American Woodcock,0.1019,   1 PAM2_20230304_130000.wav
27.0,30.0,Wood Frog,0.1020,   1 PAM2_20230304_130000.wav
33.0,36.0,Spring Peeper,0.2312,   1 PAM2_20230304_130000.wav
36.0,39.0,American Woodcock,0.2108,   1 PAM2_20230304_130000.wav
36.0,39.0,White-crowned Sparrow,0.3033,   1 PAM2_20230304_130000.wav
39.0,42.0,American Woodcock,0.2275,   1 PAM2_20230304_130000.wav
39.0,42.0,Spotted Sandpiper,0.1296,   1 PAM2_20230304_130000.wav
42.0,45.0,Spring Peeper,0.1175,   1 PAM2_20230304_130000.wav
45.0,48.0,Hammond's Flycatcher,0.1235,   1 PAM2_20230304_130000.wav
48.0,51.0,American Woodcock,0.1498,   1 PAM2_20230304_130000.wav
54.0,57.0,American Woodcock,0.2673,   1 PAM2_20230304_130000.wav
54.0,57.0,Spring Peeper,0.1047,   1 PAM2_20230304_130000.wav
6.0,9.0,American Woodcock,0.1353,   1 PAM2_20230304_130000.wav
0,3.0,Brown-headed Nuthatch,0.7839,   1 PAM2_20230304_131000.wav
0,3.0,Masked Lapwing,0.2130,   1 PAM2_20230304_131000.wav
0,3.0,Yellow-wattled Lapwing,0.1098,   1 PAM2_20230304_131000.wav
12.0,15.0,Wood Frog,0.8367,   1 PAM2_20230304_131000.wav
27.0,30.0,Spring Peeper,0.1074,   1 PAM2_20230304_131000.wav
30.0,33.0,Rock Bunting,0.1834,   1 PAM2_20230304_131000.wav
30.0,33.0,Tufted Titmouse,0.1351,   1 PAM2_20230304_131000.wav
51.0,54.0,Brewer's Blackbird,0.1486,   1 PAM2_20230304_131000.wav
6.0,9.0,American Woodcock,0.1009,   1 PAM2_20230304_131000.wav
6.0,9.0,Eastern Narrow-mouthed Toad,0.2316,   1 PAM2_20230304_131000.wav
9.0,12.0,Wood Frog,0.2905,   1 PAM2_20230304_131000.wav
21.0,24.0,Spring Peeper,0.1350,   1 PAM2_20230304_132000.wav
24.0,27.0,Engine,0.1179,   1 PAM2_20230304_132000.wav
24.0,27.0,Spring Peeper,0.1549,   1 PAM2_20230304_132000.wav
27.0,30.0,Engine,0.1201,   1 PAM2_20230304_132000.wav
27.0,30.0,Spring Peeper,0.1979,   1 PAM2_20230304_132000.wav
33.0,36.0,American Woodcock,0.1821,   1 PAM2_20230304_132000.wav
42.0,45.0,American Woodcock,0.1052,   1 PAM2_20230304_132000.wav
45.0,48.0,American Woodcock,0.1616,   1 PAM2_20230304_132000.wav
48.0,51.0,Wood Frog,0.1208,   1 PAM2_20230304_132000.wav
